,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
13-02,3459.0,314.0,296.0,360.0,339.0,157.0,170.0,105.0,139.0,128.0,104.0,33.0,69.0,62.0,68.0,57.0,33.0,46.0,27.0,30.0,27.0,21.0,36.0,39.0,1.0,22.0,24.0,6.0,6.0,24.0,11.0,3.0,1.0
14-02,4774.0,362.0,357.0,403.0,364.0,193.0,187.0,136.0,157.0,152.0,114.0,47.0,80.0,90.0,87.0,63.0,36.0,54.0,36.0,43.0,28.0,31.0,38.0,39.0,1.0,29.0,25.0,6.0,6.0,24.0,11.0,3.0,1.0
15-02,5623.0,410.0,391.0,428.0,425.0,221.0,210.0,156.0,186.0,184.0,119.0,68.0,98.0,124.0,101.0,71.0,44.0,60.0,42.0,39.0,41.0,37.0,46.0,49.0,1.0,31.0,26.0,10.0,7.0,33.0,13.0,3.0,1.0
16-02,6639.0,465.0,440.0,456.0,464.0,255.0,240.0,173.0,218.0,207.0,131.0,79.0,108.0,140.0,105.0,82.0,49.0,71.0,42.0,52.0,46.0,45.0,50.0,54.0,2.0,40.0,30.0,12.0,8.0,33.0,13.0,5.0,1.0
17-02,7862.0,524.0,509.0,507.0,498.0,280.0,275.0,191.0,258.0,225.0,156.0,85.0,114.0,161.0,122.0,90.0,53.0,79.0,47.0,59.0,57.0,46.0,53.0,58.0,2.0,43.0,34.0,12.0,8.0,35.0,13.0,5.0,1.0
18-02,9128.0,565.0,522.0,535.0,527.0,361.0,310.0,211.0,280.0,254.0,169.0,111.0,122.0,177.0,136.0,93.0,69.0,89.0,57.0,79.0,66.0,48.0,61.0,62.0,2.0,53.0,36.0,12.0,8.0,42.0,15.0,5.0,1.0
19-02,10337.0,606.0,573.0,604.0,561.0,413.0,362.0,231.0,318.0,274.0,188.0,120.0,145.0,186.0,152.0,112.0,86.0,102.0,60.0,84.0,70.0,54.0,68.0,65.0,5.0,55.0,37.0,20.0,10.0,42.0,16.0,5.0,1.0
20-02,11788.0,642.0,637.0,633.0,634.0,474.0,433.0,254.0,356.0,299.0,217.0,136.0,153.0,199.0,169.0,126.0,90.0,118.0,79.0,86.0,72.0,59.0,76.0,71.0,6.0,59.0,43.0,22.0,16.0,44.0,16.0,6.0,1.0
21-02,11881.0,690.0,736.0,679.0,661.0,539.0,489.0,281.0,373.0,316.0,231.0,175.0,169.0,211.0,184.0,149.0,97.0,134.0,96.0,95.0,77.0,62.0,78.0,76.0,5.0,61.0,45.0,24.0,17.0,48.0,18.0,6.0,1.0
22-02,15299.0,728.0,830.0,719.0,692.0,597.0,555.0,302.0,401.0,328.0,250.0,204.0,178.0,227.0,203.0,162.0,104.0,149.0,107.0,104.0,90.0,65.0,81.0,76.0,6.0,66.0,52.0,25.0,26.0,48.0,18.0,6.0,1.0
23-02,15343.0,755.0,868.0,760.0,714.0,637.0,613.0,321.0,418.0,335.0,261.0,222.0,189.0,249.0,219.0,170.0,106.0,163.0,115.0,106.0,102.0,81.0,88.0,78.0,11.0,73.0,54.0,28.0,27.0,56.0,18.0,6.0,1.0
24-02,16748.0,786.0,943.0,782.0,731.0,663.0,645.0,343.0,452.0,349.0,276.0,227.0,198.0,261.0,234.0,183.0,112.0,173.0,124.0,116.0,102.0,87.0,94.0,80.0,19.0,80.0,60.0,30.0,34.0,58.0,18.0,6.0,1.0
25-02,18971.0,822.0,1002.0,808.0,768.0,712.0,683.0,355.0,458.0,372.0,289.0,243.0,215.0,268.0,248.0,199.0,134.0,186.0,129.0,124.0,104.0,91.0,98.0,80.0,19.0,83.0,63.0,30.0,35.0,61.0,18.0,7.0,1.0
26-02,20969.0,851.0,1033.0,867.0,783.0,744.0,719.0,377.0,478.0,384.0,307.0,249.0,235.0,272.0,261.0,218.0,147.0,192.0,144.0,129.0,104.0,96.0,104.0,81.0,24.0,88.0,65.0,34.0,38.0,65.0,18.0,7.0,1.0
27-02,23383.0,890.0,1068.0,932.0,804.0,792.0,754.0,387.0,498.0,401.0,321.0,270.0,248.0,276.0,274.0,228.0,161.0,195.0,150.0,131.0,112.0,102.0,107.0,81.0,24.0,93.0,67.0,43.0,43.0,68.0,18.0,8.0,1.0
28-02,26403.0,935.0,1112.0,975.0,830.0,821.0,790.0,405.0,515.0,422.0,338.0,283.0,257.0,279.0,277.0,235.0,168.0,199.0,156.0,133.0,112.0,102.0,112.0,82.0,30.0,93.0,73.0,52.0,45.0,68.0,18.0,8.0,1.0
29-02,28993.0,983.0,1170.0,1016.0,846.0,868.0,811.0,421.0,523.0,438.0,351.0,301.0,271.0,287.0,282.0,243.0,176.0,207.0,157.0,148.0,112.0,109.0,114.0,82.0,33.0,96.0,75.0,62.0,49.0,69.0,18.0,8.0,1.0
01-03,31536.0,1016.0,1198.0,1046.0,866.0,873.0,831.0,443.0,536.0,450.0,365.0,342.0,276.0,290.0,294.0,247.0,181.0,208.0,163.0,149.0,112.0,111.0,116.0,84.0,36.0,103.0,78.0,64.0,52.0,69.0,18.0,8.0,1.0
02-03,33934.0,1059.0,1205.0,1069.0,887.0,917.0,850.0,460.0,543.0,469.0,386.0,356.0,282.0,292.0,296.0,255.0,192.0,216.0,168.0,151.0,114.0,111.0,119.0,85.0,36.0,103.0,83.0,66.0,54.0,69.0,18.0,8.0,1.0
03-03,36208.0,1101.0,1231.0,1093.0,906.0,936.0,870.0,511.0,562.0,490.0,394.0,366.0,288.0,294.0,300.0,260.0,202.0,216.0,169.0,155.0,114.0,124.0,124.0,86.0,37.0,106.0,83.0,68.0,59.0,69.0,18.0,9.0,1.0
04-03,38557.0,1133.0,1234.0,1114.0,916.0,956.0,884.0,516.0,577.0,502.0,406.0,373.0,297.0,298.0,301.0,270.0,210.0,223.0,169.0,158.0,114.0,124.0,124.0,87.0,37.0,106.0,86.0,69.0,63.0,69.0,18.0,9.0,1.0
05-03,40592.0,1181.0,1239.0,1124.0,938.0,970.0,901.0,578.0,583.0,512.0,425.0,379.0,297.0,303.0,304.0,277.0,214.0,224.0,169.0,158.0,114.0,128.0,126.0,87.0,43.0,106.0,88.0,70.0,65.0,69.0,18.0,9.0,1.0
06-03,42033.0,1216.0,1244.0,1147.0,955.0,979.0,909.0,618.0,594.0,513.0,442.0,396.0,299.0,306.0,305.0,284.0,217.0,226.0,170.0,158.0,114.0,128.0,126.0,87.0,46.0,106.0,90.0,71.0,65.0,71.0,18.0,10.0,1.0
07-03,43500.0,1237.0,1244.0,1154.0,960.0,979.0,916.0,627.0,606.0,526.0,454.0,403.0,303.0,313.0,307.0,295.0,218.0,226.0,170.0,158.0,115.0,128.0,126.0,87.0,51.0,107.0,90.0,72.0,67.0,71.0,18.0,10.0,1.0
08-03,45235.0,1256.0,1247.0,1161.0,968.0,984.0,919.0,642.0,612.0,527.0,464.0,412.0,308.0,314.0,307.0,295.0,223.0,227.0,170.0,159.0,117.0,128.0,126.0,87.0,58.0,109.0,90.0,73.0,70.0,71.0,18.0,10.0,1.0
09-03,46488.0,1260.0,1247.0,1176.0,979.0,984.0,923.0,700.0,621.0,542.0,466.0,430.0,315.0,315.0,307.0,295.0,230.0,227.0,170.0,159.0,123.0,130.0,127.0,88.0,59.0,109.0,91.0,73.0,70.0,71.0,18.0,10.0,1.0
10-03,47743.0,1274.0,1247.0,1191.0,990.0,984.0,927.0,719.0,627.0,547.0,478.0,434.0,320.0,319.0,307.0,295.0,234.0,227.0,170.0,159.0,129.0,131.0,131.0,88.0,65.0,111.0,91.0,73.0,70.0,71.0,18.0,10.0,1.0
11-03,49134.0,1282.0,1249.0,1195.0,995.0,984.0,932.0,726.0,627.0,554.0,488.0,436.0,326.0,320.0,307.0,295.0,238.0,232.0,170.0,159.0,133.0,131.0,131.0,88.0,65.0,111.0,91.0,73.0,71.0,72.0,18.0,10.0,1.0
12-03,50318.0,1289.0,1249.0,1197.0,999.0,984.0,934.0,734.0,629.0,564.0,498.0,441.0,334.0,321.0,308.0,295.0,241.0,232.0,170.0,160.0,137.0,132.0,132.0,88.0,67.0,112.0,91.0,73.0,71.0,72.0,18.0,10.0,1.0
13-03,51553.0,1296.0,1249.0,1197.0,1005.0,984.0,934.0,739.0,630.0,566.0,503.0,446.0,342.0,324.0,310.0,295.0,243.0,232.0,170.0,160.0,140.0,132.0,133.0,88.0,77.0,112.0,91.0,73.0,71.0,72.0,18.0,10.0,1.0
14-03,52960.0,1299.0,1250.0,1211.0,1014.0,984.0,934.0,741.0,630.0,569.0,511.0,447.0,349.0,324.0,310.0,295.0,243.0,232.0,172.0,160.0,143.0,132.0,133.0,89.0,78.0,113.0,91.0,73.0,71.0,73.0,18.0,10.0,1.0
15-03,54288.0,1304.0,1250.0,1211.0,1014.0,984.0,934.0,741.0,631.0,570.0,516.0,453.0,353.0,324.0,310.0,295.0,243.0,232.0,172.0,160.0,143.0,133.0,133.0,91.0,81.0,114.0,91.0,73.0,71.0,73.0,18.0,10.0,1.0
16-03,55142.0,1306.0,1250.0,1216.0,1014.0,984.0,934.0,746.0,631.0,570.0,516.0,455.0,360.0,325.0,310.0,295.0,248.0,233.0,172.0,161.0,144.0,133.0,133.0,91.0,84.0,115.0,92.0,73.0,73.0,75.0,18.0,10.0,1.0
17-03,56003.0,1307.0,1250.0,1216.0,1014.0,984.0,934.0,746.0,631.0,570.0,520.0,456.0,369.0,325.0,310.0,295.0,248.0,236.0,172.0,161.0,144.0,133.0,133.0,91.0,88.0,120.0,92.0,73.0,73.0,75.0,18.0,10.0,1.0
18-03,56927.0,1313.0,1250.0,1216.0,1014.0,984.0,934.0,746.0,631.0,570.0,525.0,459.0,378.0,326.0,310.0,295.0,250.0,237.0,172.0,161.0,144.0,133.0,133.0,91.0,92.0,122.0,92.0,73.0,73.0,75.0,18.0,10.0,1.0
19-03,57682.0,1318.0,1250.0,1217.0,1014.0,984.0,934.0,747.0,631.0,570.0,536.0,460.0,380.0,326.0,310.0,295.0,250.0,237.0,172.0,161.0,144.0,133.0,133.0,91.0,95.0,122.0,92.0,73.0,74.0,75.0,18.0,10.0,1.0
20-03,58382.0,1323.0,1250.0,1219.0,1014.0,984.0,934.0,748.0,631.0,570.0,536.0,463.0,390.0,326.0,310.0,295.0,250.0,237.0,172.0,161.0,144.0,133.0,133.0,98.0,98.0,122.0,92.0,73.0,74.0,75.0,18.0,10.0,1.0
21-03,58946.0,1325.0,1250.0,1219.0,1014.0,984.0,934.0,749.0,631.0,570.0,536.0,463.0,396.0,327.0,310.0,295.0,250.0,239.0,172.0,161.0,144.0,133.0,133.0,113.0,98.0,122.0,92.0,73.0,74.0,75.0,18.0,10.0,1.0
22-03,59433.0,1329.0,1250.0,1219.0,1014.0,984.0,934.0,750.0,631.0,570.0,536.0,466.0,400.0,328.0,310.0,295.0,250.0,239.0,172.0,161.0,144.0,133.0,133.0,114.0,100.0,124.0,92.0,73.0,74.0,75.0,18.0,10.0,1.0
23-03,59879.0,1332.0,1250.0,1221.0,1014.0,984.0,934.0,751.0,631.0,570.0,536.0,465.0,400.0,329.0,310.0,295.0,250.0,239.0,172.0,161.0,144.0,133.0,133.0,114.0,100.0,124.0,92.0,73.0,74.0,75.0,18.0,10.0,1.0
